Almaty: Алматы
Almetevsk: Альметьевск
Armavir: Армавир
Artem: Артем
Arkhangelsk: Архангельск
Astrakhan: АстраханьBalakovo: Балаково
Barnaul: Барнаул
Belgorod: Белгород
Berezniki: Березники
Biysk: Бийск
Blagoveschensk: Благовещенск
Borisoglebsk: Борисоглебск
Bratsk: Братск
Bryansk: Брянск
Budennovsk: Буденновск
Velikiy_Novgorod: Великий Новгород
Vladivostok: Владивосток
Vladimir: Владимир
Volgograd: Волгоград
Volgskyi: Волжский
Vologda: Вологда
Voronezh: Воронеж
Dzerzhinsk: Дзержинск
Ekaterinburg: Екатеринбург
Zelenodolsk: Зеленодольск
Ivanovo: Иваново
Izhevsk: Ижевск
Irkutsk: Иркутск
Yoshkar-Ola: Йошкар-Ола
Kazan: Казань
Kaliningrad: Калининград
Kaluga: Калуга
Kamensk-Uralskiy: Каменск-Уральский
Kemerovo: Кемерово
Kirov: Киров
Kostroma: Кострома
Krasnodar: Краснодар
Krasnoyarsk: Красноярск
Kuznetsk: Кузнецк
Kurgan: Курган
Kursk: Курск
Lipetsk: Липецк
Magnitogorsk: Магнитогорск
Miass: Миасс
Moskva: Москва
Murmansk: Мурманск
Naberezhnye_Chelny: Набережные Челны
Nalchik: Нальчик
Nevinnomyssk: Невинномысск
Neftekamsk: Нефтекамск
Nizhnevartovsk: Нижневартовск
Nignekamsk: Нижнекамск
Nizhniy_Novgorod: Нижний Новгород
Nizhniy_Tagil: Нижний Тагил
Novokuznetsk: Новокузнецк
Novorossiysk: Новороссийск
Novosibirsk: Новосибирск
Novocheboksarsk: Новочебоксарск
Noyabrsk: Ноябрьск
Omsk: Омск
Orel: Орел
Orenburg: Оренбург
Orsk: Орск
Penza: Пенза
Perm: Пермь
Petrozavodsk: Петрозаводск
Prokopyevsk: Прокопьевск
Pskov: Псков
Pyatigorsk: Пятигорск
Rossosh: Россошь
Rostov-na-Donu: Ростов-на-Дону
Rybinsk: Рыбинск
Salavat: Салават
Samara: Самара
Sankt-Peterburg: Санкт-Петербург
Saransk: Саранск
Saratov: Саратов
Sevastopol: Севастополь
Severodvinsk: Северодвинск
Simferopol: Симферополь
Smolensk: Смоленск
Sochi: Сочи
Stavropol: Ставрополь
StariyOskol: Старый Оскол
Sterlitamak: Стерлитамак
Surgut: Сургут
Sizran: Сызрань
Syktyvkar: Сыктывкар
Taganrog: Таганрог
Tambov: Тамбов
Tver: Тверь
Tolyatti: Тольятти
Tomsk: Томск
Tuapse: Туапсе
Tula: Тула
Tumen: Тюмень
UlanUde: Улан-Удэ
Ulyanovsk: Ульяновск
Ufa: Уфа
Xabarovsk: Хабаровск
Cheboksary: Чебоксары
Chelyabinsk: Челябинск
Cherepovets: Череповец
Chita: Чита
Shakhty: Шахты
Engels: Энгельс
Yaroslavl: Ярославль
